,Unnamed: 0,시군구법정동번지코드,시군구법정동번코드_x,시군구법정동코드_x,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번,시군구법정동번코드_y,시군구법정동코드_y,번,지,주소,분류,기업,이름,비고,임차여부,전력사용량
0,549819,414631130010218,4146311300102,4146311300,102,18,14876796,경기도,용인시 기흥구,마북동,414634412125.0,마북로240번길,17.0,10.0,4146311300102,4146311300,102,18,경기도 용인시 기흥구 마북로 240번길 17-9,-,AWS 임차(롯데정보통신(현대정보기술) 용인 글로벌클라우드센터),"롯데정보통신 제3,4센터",*AWS 중복,-,
1,549820,414631130010218,4146311300102,4146311300,102,18,14876796,경기도,용인시 기흥구,마북동,414634412125.0,마북로240번길,17.0,9.0,4146311300102,4146311300,102,18,경기도 용인시 기흥구 마북로 240번길 17-9,-,AWS 임차(롯데정보통신(현대정보기술) 용인 글로벌클라우드센터),"롯데정보통신 제3,4센터",*AWS 중복,-,
2,558309,4146510300325230,4146510300325,4146510300,325,230,1905648,경기도,용인시 수지구,동천동,414654415118.0,용구대로2771번길,85.0,0.0,4146510300325,4146510300,325,230,경기도 용인시 수지구용구대로 2771번길 85,민간,세종텔레콤,세종텔레콤,-,-,
3,551580,4146510200236,414651020023,4146510200,23,6,2443392,경기도,용인시 수지구,죽전동,414653205004.0,디지털벨리로,61.0,0.0,414651020023,4146510200,23,6,경기도 용인시 수지구 죽전동 23-6,금융,"동부그룹 계열사, 미래에셋 생명, 골든브릿지 증권, SC제일은행 DR센터, 미쓰비시 은행 DR센터 ,에스콰이어",동부화재데이터센터,-,-,
4,606839,4159013500383,415901350038,4159013500,38,3,62784,경기도,화성시,산척동,415904852416.0,동탄산척로2길,53.0,7.0,415901350038,4159013500,38,3,경기 화성시 동탄산척로2길 53-7,공공,한국도로공사,ICT운영센터(동탄),-,-,
5,587735,415701040020161,41570104002016,4157010400,2016,1,1084,경기도,김포시,장기동,-,-,-,-,41570104002016,4157010400,2016,1,경기 김포시 태장로769번길 35,금융,KB금융,KB국민은행 통합IT센터,-,-,
6,533781,41390135002420,4139013500242,4139013500,242,0,10874,경기도,시흥시,배곧동,-,-,-,-,4139013500242,4139013500,242,0,경기도 시흥시 서울대학로 173,민간,KAKAO,카카오 제3데이터센터,"2024 착공 예정
2026 준공 예정",-,
7,487567,41285104007260,4128510400726,4128510400,726,0,10301664,경기도,고양시 일산동구,장항동,412853192094.0,중앙로,1333.0,0.0,4128510400726,4128510400,726,0,경기도 고양시 일산동구 중앙로 1333 (경기도 고양시 일산동구 장항동 726번지),통신,"SK브로드밴드,AWS",일산 센터,-,-,
8,489660,412851060013280,41285106001328,4128510600,1328,0,289200,경기도,고양시 일산동구,백석동,412853192096.0,호수로,358.0,8.0,41285106001328,4128510600,1328,0,경기 고양시 일산동구 호수로 358-8,공공,한국예탁결제원,한국예탁결제원 일산전산센터,-,-,
9,432117,41135109006950,4113510900695,4113510900,695,0,1776600,경기도,성남시 분당구,삼평동,411354340056.0,대왕판교로712번길,11.0,0.0,4113510900695,4113510900,695,0,경기도 성남시 분당구 대왕판교로712번길 11,민간,NHN,"토스트 클라우드 센터1
 (TOAST Cloud Center 1, TCC1)","2021 착공
2022.12 준공 예정",-,
10,432717,41135114001922,4113511400192,4113511400,192,2,3263040,경기도,성남시 분당구,구미동,411354340263.0,성남대로2번길,12.0,0.0,4113511400192,4113511400,192,2,경기도 성남시 분당구 성남대로 2번길 12 (경기도 성남시 분당구 구미동 192-2),통신,"SK브로드밴드,KINX,한국여성인권진흥원(공공)",분당 센터,-,-,
11,428710,41135109006110,4113510900611,4113510900,611,0,12483577,경기도,성남시 분당구,삼평동,411354340514.0,판교로255번길,46.0,0.0,4113510900611,4113510900,611,0,성남시 분당구 판교로 255번길 46(삼평동 611),민간,SK C&C,판교 클라우드 센터,-,-,
12,428211,41135107003431,4113510700343,4113510700,343,1,2952672,경기도,성남시 분당구,야탑동,411353180048.0,장미로,36.0,0.0,4113510700343,4113510700,343,1,경기도 성남시 분당구 장미로 36 호스트웨이 IDC,민간,KINX (인터넷 인프라 기업),IDC 분당1,-,-,
13,439849,411711010020012,4117110100200,4117110100,200,12,4904448,경기도,안양시 만안구,안양동,411714346054.0,덕천로48번길,37.0,0.0,4117110100200,4117110100,200,12,경기도 안양시 만안구 덕천로48번길 37,통신,LG U+,LG U+안양 센터,기타분류,-,
14,540485,41450109008361,4145010900836,4145010900,836,1,4967,경기도,하남시,망월동,-,-,-,-,4145010900836,4145010900,836,1,경기 하남시 미사강변한강로 177,은행,한국산업은행,디지털스퀘어,-,-,
15,540485,41450109008361,4145010900836,4145010900,836,1,4967,경기도,하남시,망월동,-,-,-,-,4145010900836,4145010900,836,1,경기 하남시 미사강변한강로 177(망월동 836-1),은행,산업은행,한국 산업은행 IT센터,-,-,
16,418386,41117101004101,4111710100410,4111710100,410,1,8573160,경기도,수원시 영통구,매탄동,411174331102.0,삼성로168번길,10.0,0.0,4111710100410,4111710100,410,1,"경기도 수원시 영통구 삼성로168번길 10, 경기도 수원시 영통구 매탄동 410-1",민간,삼성SDS,삼성SDS ICT수원센터,-,-,
