,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
402890,36110320239740,3611032023974,3611032023,974,0,3952,세종특별자치시,세종특별자치시,연동면 명학리,-,-,-,-
402891,3611032024553,361103202455,3611032024,55,3,123,세종특별자치시,세종특별자치시,연동면 응암리,361104574074.0,높은정이길,8.0,18.0
402893,36110320242255,3611032024225,3611032024,225,5,197,세종특별자치시,세종특별자치시,연동면 응암리,361104574441.0,응암노곡길,12.0,0.0
402894,36110320243402,3611032024340,3611032024,340,2,100,세종특별자치시,세종특별자치시,연동면 응암리,361104574137.0,매바위길,35.0,0.0
402895,36110320243691,3611032024369,3611032024,369,1,531,세종특별자치시,세종특별자치시,연동면 응암리,-,-,-,-
402896,36110320245982,3611032024598,3611032024,598,2,94,세종특별자치시,세종특별자치시,연동면 응암리,361104574440.0,응암2길,135.0,1.0
402892,36110320241712,3611032024171,3611032024,171,2,626,세종특별자치시,세종특별자치시,연동면 응암리,361103258030.0,장욱진로,144.0,6.0
403110,3611010100203249,3611010100203,3611010100,203,249,2080,세종특별자치시,세종특별자치시,반곡동,361103350790.0,남세종로,263.0,0.0
403106,3611010100355,361101010035,3611010100,35,5,18508,세종특별자치시,세종특별자치시,반곡동,-,-,-,-
403107,3611010100463,361101010046,3611010100,46,3,19140,세종특별자치시,세종특별자치시,반곡동,-,-,-,-
403108,3611010100597,361101010059,3611010100,59,7,26371,세종특별자치시,세종특별자치시,반곡동,-,-,-,-
403109,3611010100604,361101010060,3611010100,60,4,539781,세종특별자치시,세종특별자치시,반곡동,-,-,-,-
402889,361103202367311,3611032023673,3611032023,673,11,357,세종특별자치시,세종특별자치시,연동면 명학리,361104574421.0,원합강1길,102.0,6.0
403111,36110101003931,3611010100393,3611010100,393,1,7276,세종특별자치시,세종특별자치시,반곡동,-,-,-,-
403112,361101010077176,3611010100771,3611010100,771,76,2574,세종특별자치시,세종특별자치시,반곡동,361103351246.0,국책연구원로,15.0,0.0
403113,3611010100771125,3611010100771,3611010100,771,125,142807,세종특별자치시,세종특별자치시,반곡동,361103351246.0,국책연구원로,5.0,0.0
403114,36110102003241,361101020032,3611010200,32,41,35865,세종특별자치시,세종특별자치시,소담동,361103350790.0,남세종로,302.0,0.0
402897,36110320246312,3611032024631,3611032024,631,2,130,세종특별자치시,세종특별자치시,연동면 응암리,361104574439.0,응암1길,104.0,0.0
402888,36110320236411,3611032023641,3611032023,641,1,930,세종특별자치시,세종특별자치시,연동면 명학리,361104574421.0,원합강1길,99.0,0.0
402875,36110320217060,3611032021706,3611032021,706,0,1198,세종특별자치시,세종특별자치시,연동면 내판리,361103351102.0,명학산단서로,10.0,13.0
402886,36110320235810,3611032023581,3611032023,581,0,75157,세종특별자치시,세종특별자치시,연동면 명학리,-,-,-,-
402866,36110320211662,3611032021166,3611032021,166,2,115,세종특별자치시,세종특별자치시,연동면 내판리,-,-,-,-
402867,361103202121712,3611032021217,3611032021,217,12,1267,세종특별자치시,세종특별자치시,연동면 내판리,-,-,-,-
402865,36110320211520,3611032021152,3611032021,152,0,943,세종특별자치시,세종특별자치시,연동면 내판리,361103258069.0,청연로,492.0,14.0
403115,36110102003242,361101020032,3611010200,32,42,1676,세종특별자치시,세종특별자치시,소담동,361103350790.0,남세종로,301.0,0.0
402868,36110320212661,3611032021266,3611032021,266,1,236,세종특별자치시,세종특별자치시,연동면 내판리,361103258004.0,내판로,97.0,8.0
402869,36110320214710,3611032021471,3611032021,471,0,256,세종특별자치시,세종특별자치시,연동면 내판리,361104574561.0,효자길,170.0,24.0
402864,36110320211150,3611032021115,3611032021,115,0,1180,세종특별자치시,세종특별자치시,연동면 내판리,361103258069.0,청연로,520.0,19.0
402870,36110320214710,3611032021471,3611032021,471,0,256,세종특별자치시,세종특별자치시,연동면 내판리,361104574561.0,효자길,170.0,28.0
402871,36110320215690,3611032021569,3611032021,569,0,104,세종특별자치시,세종특별자치시,연동면 내판리,361104574276.0,새말다복동길,31.0,9.0
402872,36110320216020,3611032021602,3611032021,602,0,853,세종특별자치시,세종특별자치시,연동면 내판리,361104574276.0,새말다복동길,18.0,27.0
402887,36110320236000,3611032023600,3611032023,600,0,1682,세종특별자치시,세종특별자치시,연동면 명학리,-,-,-,-
402873,36110320216860,3611032021686,3611032021,686,0,4306,세종특별자치시,세종특별자치시,연동면 내판리,-,-,-,-
402876,3611032021481,361103202148,3611032021,48,1,343,세종특별자치시,세종특별자치시,연동면 내판리,361104574561.0,효자길,111.0,8.0
402877,3611032021481,361103202148,3611032021,48,1,343,세종특별자치시,세종특별자치시,연동면 내판리,361104574561.0,효자길,111.0,11.0
402878,36110320221020,3611032022102,3611032022,102,0,1,세종특별자치시,세종특별자치시,연동면 문주리,361104574377.0,언고개길,22.0,6.0
402879,361103202210200,36110320221020,3611032022,1020,0,43,세종특별자치시,세종특별자치시,연동면 문주리,361104574015.0,강변길,455.0,0.0
402880,3611032023970,361103202397,3611032023,97,0,224,세종특별자치시,세종특별자치시,연동면 명학리,361103258035.0,태산로,163.0,5.0
402881,36110320231019,3611032023101,3611032023,101,9,2350,세종특별자치시,세종특별자치시,연동면 명학리,361103258035.0,태산로,163.0,0.0
402882,36110320231740,3611032023174,3611032023,174,0,631,세종특별자치시,세종특별자치시,연동면 명학리,361103258035.0,태산로,146.0,7.0
402883,36110320232120,3611032023212,3611032023,212,0,415,세종특별자치시,세종특별자치시,연동면 명학리,361103258035.0,태산로,88.0,12.0
402884,36110320232550,3611032023255,3611032023,255,0,106954,세종특별자치시,세종특별자치시,연동면 명학리,361103258035.0,태산로,58.0,0.0
402885,36110320232981,3611032023298,3611032023,298,1,5,세종특별자치시,세종특별자치시,연동면 명학리,361103258035.0,태산로,48.0,12.0
402874,36110320217000,3611032021700,3611032021,700,0,71713,세종특별자치시,세종특별자치시,연동면 내판리,-,-,-,-
403116,36110102001183,3611010200118,3611010200,118,3,22,세종특별자치시,세종특별자치시,소담동,-,-,-,-
403146,36110104007120,3611010400712,3611010400,712,0,48821,세종특별자치시,세종특별자치시,대평동,-,-,-,-
403118,36110102005310,3611010200531,3611010200,531,0,1876,세종특별자치시,세종특별자치시,소담동,-,-,-,-
403145,36110104005681,3611010400568,3611010400,568,1,3088,세종특별자치시,세종특별자치시,대평동,361102000002.0,한누리대로,2236.0,0.0
403147,36110106009360,3611010600936,3611010600,936,0,17502,세종특별자치시,세종특별자치시,한솔동,361103258060.0,노을3로,70.0,0.0
403148,36110106009410,3611010600941,3611010600,941,0,64127,세종특별자치시,세종특별자치시,한솔동,361103258060.0,노을3로,25.0,0.0
403149,36110106009460,3611010600946,3611010600,946,0,145043,세종특별자치시,세종특별자치시,한솔동,361103258059.0,노을1로,16.0,0.0
403150,36110106009740,3611010600974,3611010600,974,0,763647,세종특별자치시,세종특별자치시,한솔동,361103258054.0,누리로,28.0,0.0
403151,36110106009810,3611010600981,3611010600,981,0,89,세종특별자치시,세종특별자치시,한솔동,361103258056.0,나리로,26.0,16.0
403152,36110106009810,3611010600981,3611010600,981,0,89,세종특별자치시,세종특별자치시,한솔동,361103258056.0,나리로,26.0,10.0
403153,361101060010610,36110106001061,3611010600,1061,0,71,세종특별자치시,세종특별자치시,한솔동,361103258055.0,누리1로,81.0,0.0
403154,361101060023211003,36110106002321,3611010600,2321,1003,300,세종특별자치시,세종특별자치시,한솔동,-,-,-,-
403155,361101060023612,36110106002361,3611010600,2361,2,13542,세종특별자치시,세종특별자치시,한솔동,-,-,-,-
403144,36110104007722,361101040077,3611010400,77,22,1082,세종특별자치시,세종특별자치시,대평동,361103350795.0,대평로,34.0,0.0
403156,3611010700361197,3611010700361,3611010700,361,197,198,세종특별자치시,세종특별자치시,나성동,-,-,-,-
403158,36110107005310,3611010700531,3611010700,531,0,13136,세종특별자치시,세종특별자치시,나성동,-,-,-,-
403159,36110107007380,3611010700738,3611010700,738,0,96293,세종특별자치시,세종특별자치시,나성동,361102000002.0,한누리대로,287.0,0.0
403160,36110107007430,3611010700743,3611010700,743,0,872,세종특별자치시,세종특별자치시,나성동,361102000002.0,한누리대로,265.0,0.0
403161,36110107007480,3611010700748,3611010700,748,0,4785,세종특별자치시,세종특별자치시,나성동,361102000002.0,한누리대로,237.0,0.0
403162,36110107007580,3611010700758,3611010700,758,0,52405,세종특별자치시,세종특별자치시,나성동,361102000002.0,한누리대로,312.0,0.0
403167,36110107008150,3611010700815,3611010700,815,0,3305,세종특별자치시,세종특별자치시,나성동,-,-,-,-
403163,36110107007620,3611010700762,3611010700,762,0,23896,세종특별자치시,세종특별자치시,나성동,361102000002.0,한누리대로,296.0,0.0
403164,36110107007640,3611010700764,3611010700,764,0,31855,세종특별자치시,세종특별자치시,나성동,361102000002.0,한누리대로,288.0,0.0
403165,36110107007700,3611010700770,3611010700,770,0,9612,세종특별자치시,세종특별자치시,나성동,361103351261.0,국세청로,8.0,14.0
403166,36110107007820,3611010700782,3611010700,782,0,111142,세종특별자치시,세종특별자치시,나성동,361103351277.0,나성로,41.0,0.0
403157,36110107004740,3611010700474,3611010700,474,0,65217,세종특별자치시,세종특별자치시,나성동,-,-,-,-
403117,36110102003080,3611010200308,3611010200,308,0,80504,세종특별자치시,세종특별자치시,소담동,-,-,-,-
403143,36110104006517,361101040065,3611010400,65,17,3685,세종특별자치시,세종특별자치시,대평동,361102348105.0,시청대로,3.0,0.0
403141,36110103007840,3611010300784,3611010300,784,0,434861,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403119,36110102005330,3611010200533,3611010200,533,0,18079,세종특별자치시,세종특별자치시,소담동,-,-,-,-
403120,36110102005430,3611010200543,3611010200,543,0,5129,세종특별자치시,세종특별자치시,소담동,-,-,-,-
403121,36110102005500,3611010200550,3611010200,550,0,648815,세종특별자치시,세종특별자치시,소담동,-,-,-,-
403122,36110102005570,3611010200557,3611010200,557,0,1465,세종특별자치시,세종특별자치시,소담동,-,-,-,-
403123,36110102005980,3611010200598,3611010200,598,0,315430,세종특별자치시,세종특별자치시,소담동,-,-,-,-
403124,361101030032,36110103003,3611010300,3,2,1898,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403125,36110103006296,3611010300629,3611010300,629,6,5000,세종특별자치시,세종특별자치시,보람동,361103350790.0,남세종로,441.0,0.0
403126,36110103006304,3611010300630,3611010300,630,4,3028,세종특별자치시,세종특별자치시,보람동,361103350794.0,호려울로,42.0,0.0
403127,36110103006314,3611010300631,3611010300,631,4,2304,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403128,361101030066415,3611010300664,3611010300,664,15,487,세종특별자치시,세종특별자치시,보람동,361102000002.0,한누리대로,2154.0,0.0
403142,36110104006313,361101040063,3611010400,63,13,238,세종특별자치시,세종특별자치시,대평동,-,-,-,-
403129,361101030070076,3611010300700,3611010300,700,76,4011,세종특별자치시,세종특별자치시,보람동,361103350790.0,남세종로,462.0,0.0
403131,36110103007040,3611010300704,3611010300,704,0,4507,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403132,36110103007080,3611010300708,3611010300,708,0,33187,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403133,36110103007290,3611010300729,3611010300,729,0,47409,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403134,36110103007350,3611010300735,3611010300,735,0,696,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403135,36110103007410,3611010300741,3611010300,741,0,84118,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403136,36110103007470,3611010300747,3611010300,747,0,82788,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403137,36110103007610,3611010300761,3611010300,761,0,61481,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403138,36110103007630,3611010300763,3611010300,763,0,306,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403139,36110103007720,3611010300772,3611010300,772,0,58899,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403140,36110103007770,3611010300777,3611010300,777,0,595151,세종특별자치시,세종특별자치시,보람동,-,-,-,-
403130,361101030070076,3611010300700,3611010300,700,76,4011,세종특별자치시,세종특별자치시,보람동,361103350790.0,남세종로,466.0,0.0
402863,3611032021461,361103202146,3611032021,46,1,992,세종특별자치시,세종특별자치시,연동면 내판리,361104574379.0,연지길,24.0,0.0
402798,36110250342191,3611025034219,3611025034,219,1,6785,세종특별자치시,세종특별자치시,조치원읍 서창리,361104574149.0,모과나무길,28.0,0.0
402861,3611032021182,361103202118,3611032021,18,2,1450,세종특별자치시,세종특별자치시,연동면 내판리,361103258069.0,청연로,606.0,10.0
402787,36110250341683,3611025034168,3611025034,168,3,2168,세종특별자치시,세종특별자치시,조치원읍 서창리,361104574063.0,내창2길,27.0,2.0
